Country_Name,Total_Tourists_Arrivals
India,325595.0
United Kingdom,151141.0
Russian Federation,118916.0
Germany,97644.0
China,91063.0
France,83011.0
Australia,68275.0
Netherlands,47777.0
United States,44605.0
Bangladesh,40485.0
Italy,36690.0
Canada,33911.0
Poland,32952.0
Spain,29595.0
Japan,24662.0
Maldives,24211.0
Switzerland,22639.0
Pakistan,15835.0
Israel,15417.0
Belgium,15322.0
Malaysia,14901.0
Czech Republic,12837.0
Denmark,12714.0
Austria,12216.0
Singapore,9764.0
Norway,9227.0
New Zealand,8211.0
Sweden,8125.0
South Korea,8111.0
Kazakhstan,7848.0
Ireland,7029.0
Iran,6614.0
Thailand,5808.0
Ukraine,5788.0
Belarus,5750.0
Turkey,5662.0
Portugal,5309.0
Lithuania,4923.0
Slovakia,4796.0
Philippines,4458.0
Hungary,4356.0
Saudi Arabia,4313.0
Romania,4035.0
United Arab Emirates,3831.0
Nepal,3677.0
Indonesia,3249.0
South Africa,3218.0
Finland,2902.0
Egypt,2861.0
Greece,2815.0
Estonia,2798.0
Bulgaria,2756.0
Vietnam,2681.0
Slovenia,2571.0
Latvia,2471.0
Seychelles,2371.0
Lebanon,2249.0
Jordan,1922.0
Oman,1904.0
Myanmar,1692.0
Serbia,1555.0
Kuwait,1387.0
Croatia,1327.0
Brazil,1311.0
Armenia,1233.0
Cambodia,1008.0
Bahrain,987.0
Iraq,963.0
Cyprus,933.0
Azerbaijan,922.0
Kenya,835.0
Sudan,834.0
Morocco,759.0
Malta,753.0
Mexico,708.0
Qatar,699.0
Argentina,621.0
Luxembourg,606.0
Uzbekistan,594.0
Kyrgyzstan,561.0
Tunisia,548.0
Mauritius,532.0
Georgia,493.0
Colombia,463.0
Chile,451.0
Moldova,429.0
Palestinian Territories,424.0
Bhutan,417.0
Tanzania,384.0
Yemen,372.0
Algeria,253.0
Bosnia and Herzegovina,248.0
Iceland,209.0
Peru,189.0
Lao People's Democratic Republic,179.0
Tajikistan,174.0
Uruguay,165.0
Madagascar,146.0
Ethiopia,146.0
Uganda,143.0
Fiji,133.0
Mongolia,132.0
Albania,128.0
Macedonia,117.0
Saint Kitts and Nevis,111.0
Andorra,110.0
Turkmenistan,108.0
Zimbabwe,107.0
Dominica,106.0
Papua New Guinea,101.0
Venezuela,96.0
Liechtenstein,86.0
Ecuador,84.0
Montenegro,80.0
Costa Rica,78.0
Nigeria,76.0
Brunei Darussalam,62.0
Afghanistan,60.0
Comoros,59.0
Trinidad and Tobago,58.0
Ghana,52.0
Zambia,52.0
Somalia,52.0
Guatemala,47.0
Kosovo,43.0
Senegal,38.0
Libya,38.0
Vanuatu,33.0
Malawi,32.0
Jamaica,31.0
Rwanda,30.0
Botswana,28.0
Cuba,27.0
Guyana,26.0
Namibia,26.0
Grenada,26.0
Paraguay,25.0
Saint Lucia,24.0
Dominican Republic,22.0
Mozambique,21.0
San Marino,21.0
Democratic Republic of  Congo,21.0
Panama,20.0
Sierra Leone,19.0
Bolivia,18.0
Suriname,18.0
Antigua and Barbuda,18.0
Timor-Leste,17.0
Honduras,16.0
Belize,16.0
Bahamas,16.0
Monaco,16.0
Benin,15.0
Nicaragua,15.0
Barbados,14.0
Angola,13.0
El Salvador,13.0
The Gambia,12.0
Cameroon,11.0
Republic of Congo,11.0
Mali,11.0
Burkina Faso,11.0
Mauritania,11.0
Djibouti,10.0
Cote d'lvoire,10.0
Chad,10.0
Saint Vincent and the Grenadi,9.0
Guinea,9.0
Cape Verde,8.0
Eritrea,8.0
Lesotho,8.0
Haiti,7.0
Liberia,6.0
Solomon Islands,6.0
Togo,6.0
Samoa,5.0
South Sudan,5.0
Syrian Arab Republic,3.0
Niger,3.0
Burundi,3.0
Swaziland,3.0
Tonga,3.0
Guinea-Bissau,3.0
Central African Republic,2.0
Gabon,1.0
Equatorial Guinea,1.0
Nauru,1.0
Marshall Islands,1.0
Sao Tome and Principe,1.0
Saint Barthelemy,1.0
Palau,1.0
Vatican City,1.0
